date,market_id,market_name,mandi_id,district,target_price_t_plus_7,split,model,prediction,lower_bound_inr_qtl,upper_bound_inr_qtl,covered,interval_width_inr_qtl,confidence_level
2025-04-25,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1042.857142857143,832.4999999999999,1335.7142857142858,True,503.2142857142859,0.9
2025-04-25,168,Nasik,maharashtra__nasik,nashik,600.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,False,503.2142857142859,0.9
2025-04-25,172,Pune,maharashtra__pune,pune,900.0,validation,moving_average_7d,1085.7142857142858,875.3571428571428,1378.5714285714287,True,503.2142857142859,0.9
2025-04-25,176,Solapur,maharashtra__solapur,solapur,650.0,validation,moving_average_7d,714.2857142857143,503.92857142857133,1007.1428571428572,True,503.2142857142859,0.9
2025-04-25,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,700.0,validation,moving_average_7d,642.8571428571429,432.4999999999999,935.7142857142858,True,503.2142857142859,0.9
2025-04-25,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,900.0,689.642857142857,1192.857142857143,True,503.2142857142859,0.9
2025-04-25,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1000.0,validation,moving_average_7d,1228.571428571429,1018.2142857142859,1521.4285714285718,False,503.2142857142859,0.9
2025-04-25,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1050.0,validation,moving_average_7d,1100.0,889.642857142857,1392.857142857143,True,503.2142857142859,0.9
2025-04-25,4751,Pune(Manjri),maharashtra__punemanjri,pune,900.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,True,503.2142857142859,0.9
2025-04-25,4752,Pune(Moshi),maharashtra__punemoshi,pune,750.0,validation,moving_average_7d,792.8571428571429,582.4999999999999,1085.7142857142858,True,503.2142857142859,0.9
2025-04-26,160,Kolhapur,maharashtra__kolhapur,kolhapur,1000.0,validation,moving_average_7d,1028.571428571429,818.2142857142859,1321.4285714285718,True,503.2142857142859,0.9
2025-04-26,168,Nasik,maharashtra__nasik,nashik,600.0,validation,moving_average_7d,1000.0,789.642857142857,1292.857142857143,False,503.2142857142859,0.9
2025-04-26,172,Pune,maharashtra__pune,pune,900.0,validation,moving_average_7d,1085.7142857142858,875.3571428571428,1378.5714285714287,True,503.2142857142859,0.9
2025-04-26,176,Solapur,maharashtra__solapur,solapur,750.0,validation,moving_average_7d,750.0,539.642857142857,1042.857142857143,True,503.2142857142859,0.9
2025-04-26,581,Chattrapati Sambhajinagar,maharashtra__chattrapati_sambhajinagar,aurangabad,650.0,validation,moving_average_7d,635.7142857142857,425.35714285714266,928.5714285714286,True,503.2142857142859,0.9
2025-04-26,1462,Satara,maharashtra__satara,satara,1000.0,validation,moving_average_7d,900.0,689.642857142857,1192.857142857143,True,503.2142857142859,0.9
2025-04-26,2494,Pune(Pimpri),maharashtra__punepimpri,pune,1000.0,validation,moving_average_7d,1228.571428571429,1018.2142857142859,1521.4285714285718,False,503.2142857142859,0.9
2025-04-26,3108,Vashi New Mumbai,maharashtra__vashi_new_mumbai,mumbai,1050.0,validation,moving_average_7d,1114.2857142857142,903.9285714285712,1407.142857142857,True,503.2142857142859,0.9
2025-04-26,4751,Pune(Manjri),maharashtra__punemanjri,pune,900.0,validation,moving_average_7d,1014.2857142857144,803.9285714285714,1307.1428571428573,True,503.2142857142859,0.9
